Description,LocID,Location,Status,Address,City,State,Country,Zip,Phone Number,Timezone,Long,Lat
Starbucks,9417-77713,Safeway - Alameda 3281,Licensed,2600 5th Street,Alameda,CA,US,94501,510-523-1804,GMT-08:00 America/Los_Angeles,-122.28,37.79
Starbucks,8499-78611,Park & Central Alameda,Company Owned,1364 Park Street,Alameda,CA,US,945014542,510-521-5815,GMT-08:00 America/Los_Angeles,-122.24,37.76
Starbucks,3541-35377,Las Trampas & Danville Blvd,Company Owned,3225 Danville Boulevard,Alamo,CA,US,945071913,(925) 362-9568,GMT-08:00 America/Los_Angeles,-122.03,37.85
Starbucks,3275-97767,Target Albany T-1926,Licensed,1057 Eastshore Hwy,Albany,CA,US,947101011,510-982-3394,GMT-08:00 America/Los_Angeles,-122.31,37.88
Starbucks,3221-16522,American Canyon & Highway 29,Company Owned,"101 W American Canyon Rd, Napa Junction",American Canyon,CA,US,945031162,707-649-2067,GMT-08:00 America/Los_Angeles,-122.25,38.17
Starbucks,2108-34651,Lone Tree & Deer Valley,Company Owned,"4448 Lone Tree Way, Bluerock Center",Antioch,CA,US,945317413,(925) 778-3001,GMT-08:00 America/Los_Angeles,-121.78,37.97
Starbucks,6530-91011,Lone Tree & Slatten Ranch,Company Owned,"5779 Lone Tree Way, G, Eastwood Shopping Center",Antioch,CA,US,945318604,925-754-9377,GMT-08:00 America/Los_Angeles,-121.74,37.96
Starbucks,4757-16918,Somersville & Delta Fair,Company Owned,2504 Somersville Rd.,Antioch,CA,US,945094409,925-754-4002,GMT-08:00 America/Los_Angeles,-121.84,38
Starbucks,4207-33864,Ralston & El Camino Belmont,Company Owned,1050-A El Camino Real,Belmont,CA,US,940023956,650-654-5533,GMT-08:00 America/Los_Angeles,-122.28,37.52
Starbucks,4352-43634,Safeway - Benicia #774,Licensed,50 Solano Square,Benicia,CA,US,945102712,707-745-4047,GMT-08:00 America/Los_Angeles,-122.16,38.05
Starbucks,3922-54377,2224 Shattuck - Berkeley,Company Owned,2224 Shattuck Avenue,Berkeley,CA,US,947041416,(510) 843-6806,GMT-08:00 America/Los_Angeles,-122.27,37.87
Starbucks,2039-19513,Safeway-Brentwood #2621,Licensed,3110 Balfour Road,Brentwood,CA,US,945135500,925-626-6020,GMT-08:00 America/Los_Angeles,-121.72,37.92
Starbucks,8277-27028,Marriott San Francisco Airport,Licensed,1800 Old Bayshore Hwy,Burlingame,CA,US,940101294,,GMT-08:00 America/Los_Angeles,-122.37,37.6
Starbucks,1838-99420,Hwy 4 & Bixler - Discovery Bay,Company Owned,"14804 Hwy 4, Space 1-B",Byron,CA,US,94514,925-513-4991,GMT-08:00 America/Los_Angeles,-121.62,37.89
Starbucks,9031-96280,267 E. Campbell Ave.,Company Owned,267 E. Campbell Avenue,Campbell,CA,US,950082075,408-364-0846,GMT-08:00 America/Los_Angeles,-121.95,37.29
Starbucks,6720-31386,Castro Valley & Lake Chabot,Company Owned,2720 Castro Valley Blvd,Castro Valley,CA,US,945465412,510-888-0420,GMT-08:00 America/Los_Angeles,-122.09,37.69
Starbucks,5729-73252,Safeway-Clayton #1195,Licensed,5431 Clayton Rd,Clayton,CA,US,945171039,925-672-2035,GMT-08:00 America/Los_Angeles,-121.95,37.95
Starbucks,8534-73573,Cloverdale & Hwy 101,Company Owned,1198 A S. Cloverdale Blvd.,Cloverdale,CA,US,954254483,707-894-4637,GMT-08:00 America/Los_Angeles,-123.01,38.78
Starbucks,2371-15964,Junipero Serra & Serramonte Colma,Company Owned,"990 Serramonte Blvd., A",Colma,CA,US,94014,650-757-1086,GMT-08:00 America/Los_Angeles,-122.46,37.67
Starbucks,9611-70405,Sunvalley Mall - Concord,Company Owned,"1 Sunvalley Mall, D 115",Concord,CA,US,945205801,925-680-2571,GMT-08:00 America/Los_Angeles,-122.06,37.97
Starbucks,6947-88240,Safeway - Concord #1192,Licensed,4309 Clayton Rd,Concord,CA,US,945212842,825-365-2710,GMT-08:00 America/Los_Angeles,-121.99,37.97
Starbucks,9955-11445,Oak Grove & Treat,Company Owned,"790 Oak Grove Road, C-1, Diamond Center",Concord,CA,US,945182787,925-682-0579,GMT-08:00 America/Los_Angeles,-122.02,37.94
Starbucks,7004-46475,Port Chicago & Olivera,Company Owned,"3373 Port Chicago Highway, Suite 3",Concord,CA,US,945201601,925-687-9759,GMT-08:00 America/Los_Angeles,-122.03,37.99
Starbucks,1126-30119,Town Center Corte Madera,Company Owned,209 Corte Madera Town Center,Corte Madera,CA,US,949251208,415-927-1048,GMT-08:00 America/Los_Angeles,-122.52,37.93
Starbucks,5945-77903,E Cotati & Lasalle,Company Owned,"640 E. Cotati Avenue, E",Cotati,CA,US,949314025,707-794-9016,GMT-08:00 America/Los_Angeles,-122.7,38.33
Starbucks,9012-27347,Homestead & Foothill,Company Owned,22390 Homestead Road,Cupertino,CA,US,950140116,408-746-0151,GMT-08:00 America/Los_Angeles,-122.07,37.34
